pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
164.574234,-113.308665,90.0,top,C1,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,470nF,tht
122.558528,-108.776301,0.0,top,C2,,,CP_Radial_D8.0mm_P5.00mm,100µF,tht
140.983796,-109.695222,90.0,top,C3,,,CP_Radial_D8.0mm_P5.00mm,100µF,tht
155.983796,-89.097873,90.0,top,C4,,,CP_Radial_D8.0mm_P5.00mm,100µF,tht
158.483796,-95.695222,180.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,10µF,tht
122.558528,-102.776301,0.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
139.6946,-117.11,-90.0,top,C7,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,100nF,tht
116.2,-123.749332,90.0,top,D1,,,PinHeader_1x02_P2.54mm_Vertical,On,tht
113.621834,-94.414865,-90.0,top,J1,,,6404452,+12VDC Input,tht
172.194234,-108.308665,90.0,top,J2,,,640445-5,Power Output,tht
155.983796,-111.695222,180.0,top,L1,,,22R683C,68µH,tht
111.081834,-113.414865,0.0,top,Q1,SUP53P06-20-E3,,TO254P465X1028X1931-3P,SUP53P06-20-E3,tht
134.040634,-77.938265,0.0,top,U1,,,DFR0831,DFR0831,tht
147.82,-124.75,90.0,top,U2,NKE1212SC,,NKE1212SC,NKE1212SC,tht
130.04,-123.48,90.0,top,U3,R-78CK5.0-0.5,,R78CK5005,R-78CK5.0-0.5,tht
